"rxnID"	"source"	"panID_RAVEN_kegg"	"panID_RAVEN_biocyc"	"panID_inter"	"panID_union"
"MNXR100310"	"RAVEN_kegg"	"yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_451 or yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_757 or yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_3183 or yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_3599"	NA	""	"yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_451;yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_757;yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_3183;yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_3599"
"MNXR107157"	"RAVEN_kegg"	"yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_4354 or yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_3308 or yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_4134 or yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_2003"	NA	""	"yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_4354;yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_3308;yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_4134;yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_2003"
"MNXR107158"	"RAVEN_kegg"	"yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_4354 or yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_3308 or yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_4134 or yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_2003"	NA	""	"yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_4354;yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_3308;yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_4134;yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_2003"
"MNXR100737"	"RAVEN_kegg"	"yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_3312"	NA	""	"yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_3312"
"MNXR100735"	"RAVEN_kegg"	"yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_578"	NA	""	"yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_578"
"MNXR100734"	"RAVEN_kegg"	"yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_578"	NA	""	"yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_578"
"MNXR100736"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_3030 or yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_2872"	"yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_2872 or yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_3030"	"yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_3030;yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_2872"	"yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_3030;yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_2872"
"MNXR100741"	"RAVEN_kegg"	"yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_3030 or yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_2872"	NA	""	"yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_3030;yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_2872"
"MNXR100284"	"RAVEN_kegg"	"yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_3876 or yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_1328"	NA	""	"yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_3876;yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_1328"
"MNXR104287"	"RAVEN_kegg"	"yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_4354 or yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_3308 or yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_4134 or yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_2003"	NA	""	"yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_4354;yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_3308;yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_4134;yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_2003"
"MNXR107177"	"RAVEN_kegg"	"yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_2570"	NA	""	"yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_2570"
"MNXR107178"	"RAVEN_kegg"	"yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_4254"	NA	""	"yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_4254"
"MNXR107179"	"RAVEN_kegg"	"yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_3076"	NA	""	"yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_3076"
"MNXR96545"	"RAVEN_kegg"	"yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_1911"	NA	""	"yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_1911"
"MNXR101729"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_1160"	"yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_1160"	"yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_1160"	"yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_1160"
"MNXR101382"	"RAVEN_kegg"	"yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_1431"	NA	""	"yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_1431"
