"rxnID"	"source"	"panID_RAVEN_kegg"	"panID_RAVEN_biocyc"	"panID_inter"	"panID_union"
"MNXR95767"	"RAVEN_kegg;RAVEN_biocyc"	"Saccharomyces_uvarum@Seq_2607"	"Saccharomyces_uvarum@Seq_2607"	"Saccharomyces_uvarum@Seq_2607"	"Saccharomyces_uvarum@Seq_2607"
"MNXR107498"	"RAVEN_kegg;RAVEN_biocyc"	"Saccharomyces_uvarum@Seq_2461"	"Saccharomyces_uvarum@Seq_2461"	"Saccharomyces_uvarum@Seq_2461"	"Saccharomyces_uvarum@Seq_2461"
"MNXR95161"	"RAVEN_kegg"	"Saccharomyces_uvarum@Seq_3918 or Saccharomyces_uvarum@Seq_3146"	NA	""	"Saccharomyces_uvarum@Seq_3918;Saccharomyces_uvarum@Seq_3146"
"MNXR104365"	"RAVEN_kegg;RAVEN_biocyc"	"Saccharomyces_uvarum@Seq_1609"	"Saccharomyces_uvarum@Seq_1609"	"Saccharomyces_uvarum@Seq_1609"	"Saccharomyces_uvarum@Seq_1609"
"MNXR107527"	"RAVEN_kegg"	"Saccharomyces_uvarum@Seq_4782"	NA	""	"Saccharomyces_uvarum@Seq_4782"
"MNXR97779"	"RAVEN_kegg"	"Saccharomyces_uvarum@Seq_2335"	NA	""	"Saccharomyces_uvarum@Seq_2335"
"MNXR102345"	"RAVEN_kegg;RAVEN_biocyc"	"Saccharomyces_uvarum@Seq_4147"	"Saccharomyces_uvarum@Seq_4147"	"Saccharomyces_uvarum@Seq_4147"	"Saccharomyces_uvarum@Seq_4147"
"MNXR100594"	"RAVEN_kegg"	"Saccharomyces_uvarum@Seq_329 or Saccharomyces_uvarum@Seq_894"	NA	""	"Saccharomyces_uvarum@Seq_329;Saccharomyces_uvarum@Seq_894"
"MNXR97818"	"RAVEN_kegg"	"Saccharomyces_uvarum@Seq_4870"	NA	""	"Saccharomyces_uvarum@Seq_4870"
"MNXR103357"	"RAVEN_kegg;RAVEN_biocyc"	"Saccharomyces_uvarum@Seq_412 or Saccharomyces_uvarum@Seq_2070"	"Saccharomyces_uvarum@Seq_412 or Saccharomyces_uvarum@Seq_2070"	"Saccharomyces_uvarum@Seq_412;Saccharomyces_uvarum@Seq_2070"	"Saccharomyces_uvarum@Seq_412;Saccharomyces_uvarum@Seq_2070"
"MNXR107552"	"RAVEN_kegg"	"Saccharomyces_uvarum@Seq_462 or Saccharomyces_uvarum@Seq_4819 or Saccharomyces_uvarum@Seq_2777 or Saccharomyces_uvarum@Seq_2677"	NA	""	"Saccharomyces_uvarum@Seq_462;Saccharomyces_uvarum@Seq_4819;Saccharomyces_uvarum@Seq_2777;Saccharomyces_uvarum@Seq_2677"
"MNXR100355"	"RAVEN_kegg;RAVEN_biocyc"	"Saccharomyces_uvarum@Seq_2944"	"Saccharomyces_uvarum@Seq_2944"	"Saccharomyces_uvarum@Seq_2944"	"Saccharomyces_uvarum@Seq_2944"
"MNXR95715"	"RAVEN_kegg"	"Saccharomyces_uvarum@Seq_4039 or Saccharomyces_uvarum@Seq_3932"	NA	""	"Saccharomyces_uvarum@Seq_4039;Saccharomyces_uvarum@Seq_3932"
"MNXR95743"	"RAVEN_kegg"	"Saccharomyces_uvarum@Seq_4780 or Saccharomyces_uvarum@Seq_2592 or Saccharomyces_uvarum@Seq_1948"	NA	""	"Saccharomyces_uvarum@Seq_4780;Saccharomyces_uvarum@Seq_2592;Saccharomyces_uvarum@Seq_1948"
"MNXR95742"	"RAVEN_kegg"	"Saccharomyces_uvarum@Seq_4780 or Saccharomyces_uvarum@Seq_2592 or Saccharomyces_uvarum@Seq_1948"	NA	""	"Saccharomyces_uvarum@Seq_4780;Saccharomyces_uvarum@Seq_2592;Saccharomyces_uvarum@Seq_1948"
"MNXR95813"	"RAVEN_kegg"	"Saccharomyces_uvarum@Seq_3758 or Saccharomyces_uvarum@Seq_1070"	NA	""	"Saccharomyces_uvarum@Seq_3758;Saccharomyces_uvarum@Seq_1070"
"MNXR107566"	"RAVEN_kegg"	"Saccharomyces_uvarum@Seq_124"	NA	""	"Saccharomyces_uvarum@Seq_124"
"MNXR95191"	"RAVEN_kegg"	"Saccharomyces_uvarum@Seq_4780 or Saccharomyces_uvarum@Seq_2592 or Saccharomyces_uvarum@Seq_1948"	NA	""	"Saccharomyces_uvarum@Seq_4780;Saccharomyces_uvarum@Seq_2592;Saccharomyces_uvarum@Seq_1948"
"MNXR97076"	"RAVEN_kegg"	"Saccharomyces_uvarum@Seq_3967"	NA	""	"Saccharomyces_uvarum@Seq_3967"
"MNXR103344"	"RAVEN_kegg"	"Saccharomyces_uvarum@Seq_4870"	NA	""	"Saccharomyces_uvarum@Seq_4870"
"MNXR96237"	"RAVEN_kegg"	"Saccharomyces_uvarum@Seq_4780 or Saccharomyces_uvarum@Seq_423 or Saccharomyces_uvarum@Seq_4750 or Saccharomyces_uvarum@Seq_1948"	NA	""	"Saccharomyces_uvarum@Seq_4780;Saccharomyces_uvarum@Seq_423;Saccharomyces_uvarum@Seq_4750;Saccharomyces_uvarum@Seq_1948"
"MNXR96238"	"RAVEN_kegg"	"Saccharomyces_uvarum@Seq_4780 or Saccharomyces_uvarum@Seq_423 or Saccharomyces_uvarum@Seq_4750 or Saccharomyces_uvarum@Seq_1948"	NA	""	"Saccharomyces_uvarum@Seq_4780;Saccharomyces_uvarum@Seq_423;Saccharomyces_uvarum@Seq_4750;Saccharomyces_uvarum@Seq_1948"
"MNXR99460"	"RAVEN_kegg"	"Saccharomyces_uvarum@Seq_3087"	NA	""	"Saccharomyces_uvarum@Seq_3087"
"MNXR107584"	"RAVEN_kegg"	"Saccharomyces_uvarum@Seq_299"	NA	""	"Saccharomyces_uvarum@Seq_299"
"MNXR107585"	"RAVEN_kegg"	"Saccharomyces_uvarum@Seq_751"	NA	""	"Saccharomyces_uvarum@Seq_751"
"MNXR107586"	"RAVEN_kegg"	"Saccharomyces_uvarum@Seq_751"	NA	""	"Saccharomyces_uvarum@Seq_751"
"MNXR107414"	"RAVEN_kegg"	"Saccharomyces_uvarum@Seq_4039 or Saccharomyces_uvarum@Seq_3932"	NA	""	"Saccharomyces_uvarum@Seq_4039;Saccharomyces_uvarum@Seq_3932"
"MNXR107600"	"RAVEN_kegg"	"Saccharomyces_uvarum@Seq_641"	NA	""	"Saccharomyces_uvarum@Seq_641"
"MNXR107603"	"RAVEN_kegg"	"Saccharomyces_uvarum@Seq_407"	NA	""	"Saccharomyces_uvarum@Seq_407"
"MNXR107606"	"RAVEN_kegg"	"Saccharomyces_uvarum@Seq_2704"	NA	""	"Saccharomyces_uvarum@Seq_2704"
"MNXR107620"	"RAVEN_kegg"	"Saccharomyces_uvarum@Seq_3918 or Saccharomyces_uvarum@Seq_3146"	NA	""	"Saccharomyces_uvarum@Seq_3918;Saccharomyces_uvarum@Seq_3146"
"MNXR95256"	"RAVEN_kegg"	"Saccharomyces_uvarum@Seq_3682"	NA	""	"Saccharomyces_uvarum@Seq_3682"
"MNXR94889"	"RAVEN_kegg"	"Saccharomyces_uvarum@Seq_2340"	NA	""	"Saccharomyces_uvarum@Seq_2340"
