"rxnID"	"source"	"panID_RAVEN_kegg"	"panID_RAVEN_biocyc"	"panID_inter"	"panID_union"
"MNXR110084"	"RAVEN_kegg"	"Candida_sorboxylosa@Seq_439"	NA	""	"Candida_sorboxylosa@Seq_439"
"MNXR110092"	"RAVEN_kegg"	"Candida_sorboxylosa@Seq_805"	NA	""	"Candida_sorboxylosa@Seq_805"
"MNXR110093"	"RAVEN_kegg"	"Candida_sorboxylosa@Seq_3688"	NA	""	"Candida_sorboxylosa@Seq_3688"
"MNXR110094"	"RAVEN_kegg"	"Candida_sorboxylosa@Seq_613"	NA	""	"Candida_sorboxylosa@Seq_613"
"MNXR110095"	"RAVEN_kegg"	"Candida_sorboxylosa@Seq_3688"	NA	""	"Candida_sorboxylosa@Seq_3688"
"MNXR110096"	"RAVEN_kegg"	"Candida_sorboxylosa@Seq_1480"	NA	""	"Candida_sorboxylosa@Seq_1480"
"MNXR110097"	"RAVEN_kegg"	"Candida_sorboxylosa@Seq_3814"	NA	""	"Candida_sorboxylosa@Seq_3814"
"MNXR110157"	"RAVEN_kegg"	"Candida_sorboxylosa@Seq_2251"	NA	""	"Candida_sorboxylosa@Seq_2251"
"MNXR110158"	"RAVEN_kegg"	"Candida_sorboxylosa@Seq_2251"	NA	""	"Candida_sorboxylosa@Seq_2251"
"MNXR110181"	"RAVEN_kegg"	"Candida_sorboxylosa@Seq_669"	NA	""	"Candida_sorboxylosa@Seq_669"
"MNXR110183"	"RAVEN_kegg"	"Candida_sorboxylosa@Seq_95 or Candida_sorboxylosa@Seq_2959"	NA	""	"Candida_sorboxylosa@Seq_95;Candida_sorboxylosa@Seq_2959"
"MNXR110314"	"RAVEN_kegg"	"Candida_sorboxylosa@Seq_1439"	NA	""	"Candida_sorboxylosa@Seq_1439"
"MNXR110315"	"RAVEN_kegg"	"Candida_sorboxylosa@Seq_333 or Candida_sorboxylosa@Seq_1460"	NA	""	"Candida_sorboxylosa@Seq_333;Candida_sorboxylosa@Seq_1460"
"MNXR110316"	"RAVEN_kegg"	"Candida_sorboxylosa@Seq_216"	NA	""	"Candida_sorboxylosa@Seq_216"
"MNXR104280"	"RAVEN_kegg"	"Candida_sorboxylosa@Seq_500"	NA	""	"Candida_sorboxylosa@Seq_500"
"MNXR110321"	"RAVEN_kegg;RAVEN_biocyc"	"Candida_sorboxylosa@Seq_3460"	"Candida_sorboxylosa@Seq_3460"	"Candida_sorboxylosa@Seq_3460"	"Candida_sorboxylosa@Seq_3460"
"MNXR110322"	"RAVEN_kegg;RAVEN_biocyc"	"Candida_sorboxylosa@Seq_3460"	"Candida_sorboxylosa@Seq_3460"	"Candida_sorboxylosa@Seq_3460"	"Candida_sorboxylosa@Seq_3460"
"MNXR110323"	"RAVEN_kegg"	"Candida_sorboxylosa@Seq_333 or Candida_sorboxylosa@Seq_1460"	NA	""	"Candida_sorboxylosa@Seq_333;Candida_sorboxylosa@Seq_1460"
"MNXR110357"	"RAVEN_kegg"	"Candida_sorboxylosa@Seq_3670 or Candida_sorboxylosa@Seq_2642 or Candida_sorboxylosa@Seq_1793"	NA	""	"Candida_sorboxylosa@Seq_3670;Candida_sorboxylosa@Seq_2642;Candida_sorboxylosa@Seq_1793"
"MNXR110358"	"RAVEN_kegg"	"Candida_sorboxylosa@Seq_3670 or Candida_sorboxylosa@Seq_2642 or Candida_sorboxylosa@Seq_1793"	NA	""	"Candida_sorboxylosa@Seq_3670;Candida_sorboxylosa@Seq_2642;Candida_sorboxylosa@Seq_1793"
"MNXR110376"	"RAVEN_kegg"	"Candida_sorboxylosa@Seq_3617"	NA	""	"Candida_sorboxylosa@Seq_3617"
"MNXR110401"	"RAVEN_kegg"	"Candida_sorboxylosa@Seq_1468"	NA	""	"Candida_sorboxylosa@Seq_1468"
"MNXR110483"	"RAVEN_kegg"	"Candida_sorboxylosa@Seq_247 or Candida_sorboxylosa@Seq_1271"	NA	""	"Candida_sorboxylosa@Seq_247;Candida_sorboxylosa@Seq_1271"
"MNXR110497"	"RAVEN_kegg"	"Candida_sorboxylosa@Seq_3733 or Candida_sorboxylosa@Seq_2648"	NA	""	"Candida_sorboxylosa@Seq_3733;Candida_sorboxylosa@Seq_2648"
"MNXR102680"	"RAVEN_kegg"	"Candida_sorboxylosa@Seq_2785"	NA	""	"Candida_sorboxylosa@Seq_2785"
"MNXR110642"	"RAVEN_kegg"	"Candida_sorboxylosa@Seq_3155 or Candida_sorboxylosa@Seq_761 or Candida_sorboxylosa@Seq_1800 or Candida_sorboxylosa@Seq_2596 or Candida_sorboxylosa@Seq_3459"	NA	""	"Candida_sorboxylosa@Seq_3155;Candida_sorboxylosa@Seq_761;Candida_sorboxylosa@Seq_1800;Candida_sorboxylosa@Seq_2596;Candida_sorboxylosa@Seq_3459"
"MNXR110652"	"RAVEN_kegg"	"Candida_sorboxylosa@Seq_3155 or Candida_sorboxylosa@Seq_761 or Candida_sorboxylosa@Seq_1800 or Candida_sorboxylosa@Seq_2596 or Candida_sorboxylosa@Seq_3459"	NA	""	"Candida_sorboxylosa@Seq_3155;Candida_sorboxylosa@Seq_761;Candida_sorboxylosa@Seq_1800;Candida_sorboxylosa@Seq_2596;Candida_sorboxylosa@Seq_3459"
"MNXR99237"	"RAVEN_kegg"	"Candida_sorboxylosa@Seq_3155"	NA	""	"Candida_sorboxylosa@Seq_3155"
"MNXR110699"	"RAVEN_kegg"	"Candida_sorboxylosa@Seq_3121"	NA	""	"Candida_sorboxylosa@Seq_3121"
"MNXR110745"	"RAVEN_kegg"	"Candida_sorboxylosa@Seq_2846 or Candida_sorboxylosa@Seq_203"	NA	""	"Candida_sorboxylosa@Seq_2846;Candida_sorboxylosa@Seq_203"
"MNXR110746"	"RAVEN_kegg"	"Candida_sorboxylosa@Seq_2846 or Candida_sorboxylosa@Seq_203"	NA	""	"Candida_sorboxylosa@Seq_2846;Candida_sorboxylosa@Seq_203"
"MNXR110773"	"RAVEN_kegg"	"Candida_sorboxylosa@Seq_657 or Candida_sorboxylosa@Seq_4324"	NA	""	"Candida_sorboxylosa@Seq_657;Candida_sorboxylosa@Seq_4324"
"MNXR110812"	"RAVEN_kegg"	"Candida_sorboxylosa@Seq_95 or Candida_sorboxylosa@Seq_2959"	NA	""	"Candida_sorboxylosa@Seq_95;Candida_sorboxylosa@Seq_2959"
"MNXR110813"	"RAVEN_kegg"	"Candida_sorboxylosa@Seq_3155 or Candida_sorboxylosa@Seq_761 or Candida_sorboxylosa@Seq_1800 or Candida_sorboxylosa@Seq_2596 or Candida_sorboxylosa@Seq_3459"	NA	""	"Candida_sorboxylosa@Seq_3155;Candida_sorboxylosa@Seq_761;Candida_sorboxylosa@Seq_1800;Candida_sorboxylosa@Seq_2596;Candida_sorboxylosa@Seq_3459"
"MNXR110833"	"RAVEN_kegg"	"Candida_sorboxylosa@Seq_2023"	NA	""	"Candida_sorboxylosa@Seq_2023"
"MNXR110836"	"RAVEN_kegg"	"Candida_sorboxylosa@Seq_2521"	NA	""	"Candida_sorboxylosa@Seq_2521"
"MNXR110837"	"RAVEN_kegg"	"Candida_sorboxylosa@Seq_3626 or Candida_sorboxylosa@Seq_1496 or Candida_sorboxylosa@Seq_1428"	NA	""	"Candida_sorboxylosa@Seq_3626;Candida_sorboxylosa@Seq_1496;Candida_sorboxylosa@Seq_1428"
"MNXR110861"	"RAVEN_kegg"	"Candida_sorboxylosa@Seq_3121"	NA	""	"Candida_sorboxylosa@Seq_3121"
"MNXR101751"	"RAVEN_kegg"	"Candida_sorboxylosa@Seq_854 or Candida_sorboxylosa@Seq_3989"	NA	""	"Candida_sorboxylosa@Seq_854;Candida_sorboxylosa@Seq_3989"
"MNXR110903"	"RAVEN_kegg"	"Candida_sorboxylosa@Seq_3238"	NA	""	"Candida_sorboxylosa@Seq_3238"
"MNXR110921"	"RAVEN_kegg"	"Candida_sorboxylosa@Seq_3585"	NA	""	"Candida_sorboxylosa@Seq_3585"
"MNXR110956"	"RAVEN_kegg"	"Candida_sorboxylosa@Seq_3766"	NA	""	"Candida_sorboxylosa@Seq_3766"
"MNXR97178"	"RAVEN_kegg"	"Candida_sorboxylosa@Seq_3803"	NA	""	"Candida_sorboxylosa@Seq_3803"
"MNXR101575"	"RAVEN_kegg;RAVEN_biocyc"	"Candida_sorboxylosa@Seq_2702"	"Candida_sorboxylosa@Seq_2702"	"Candida_sorboxylosa@Seq_2702"	"Candida_sorboxylosa@Seq_2702"
"MNXR111009"	"RAVEN_kegg"	"Candida_sorboxylosa@Seq_4085"	NA	""	"Candida_sorboxylosa@Seq_4085"
"MNXR111036"	"RAVEN_kegg"	"Candida_sorboxylosa@Seq_657 or Candida_sorboxylosa@Seq_4324"	NA	""	"Candida_sorboxylosa@Seq_657;Candida_sorboxylosa@Seq_4324"
"MNXR111041"	"RAVEN_kegg"	"Candida_sorboxylosa@Seq_669"	NA	""	"Candida_sorboxylosa@Seq_669"
"MNXR111042"	"RAVEN_kegg"	"Candida_sorboxylosa@Seq_39"	NA	""	"Candida_sorboxylosa@Seq_39"
"MNXR111044"	"RAVEN_kegg"	"Candida_sorboxylosa@Seq_657 or Candida_sorboxylosa@Seq_4324"	NA	""	"Candida_sorboxylosa@Seq_657;Candida_sorboxylosa@Seq_4324"
"MNXR95531"	"RAVEN_kegg"	"Candida_sorboxylosa@Seq_669"	NA	""	"Candida_sorboxylosa@Seq_669"
"MNXR101445"	"RAVEN_kegg"	"Candida_sorboxylosa@Seq_4196"	NA	""	"Candida_sorboxylosa@Seq_4196"
"MNXR94815"	"RAVEN_kegg"	"Candida_sorboxylosa@Seq_4193"	NA	""	"Candida_sorboxylosa@Seq_4193"
"MNXR111049"	"RAVEN_kegg"	"Candida_sorboxylosa@Seq_132 or Candida_sorboxylosa@Seq_3389 or Candida_sorboxylosa@Seq_1569 or Candida_sorboxylosa@Seq_453 or Candida_sorboxylosa@Seq_4277"	NA	""	"Candida_sorboxylosa@Seq_132;Candida_sorboxylosa@Seq_3389;Candida_sorboxylosa@Seq_1569;Candida_sorboxylosa@Seq_453;Candida_sorboxylosa@Seq_4277"
"MNXR100596"	"RAVEN_kegg"	"Candida_sorboxylosa@Seq_1508"	NA	""	"Candida_sorboxylosa@Seq_1508"
"MNXR100591"	"RAVEN_kegg"	"Candida_sorboxylosa@Seq_1750"	NA	""	"Candida_sorboxylosa@Seq_1750"
"MNXR111074"	"RAVEN_kegg"	"Candida_sorboxylosa@Seq_3670 or Candida_sorboxylosa@Seq_2642 or Candida_sorboxylosa@Seq_1793"	NA	""	"Candida_sorboxylosa@Seq_3670;Candida_sorboxylosa@Seq_2642;Candida_sorboxylosa@Seq_1793"
"MNXR111076"	"RAVEN_kegg"	"Candida_sorboxylosa@Seq_2671 or Candida_sorboxylosa@Seq_716 or Candida_sorboxylosa@Seq_4304 or Candida_sorboxylosa@Seq_3191 or Candida_sorboxylosa@Seq_2219"	NA	""	"Candida_sorboxylosa@Seq_2671;Candida_sorboxylosa@Seq_716;Candida_sorboxylosa@Seq_4304;Candida_sorboxylosa@Seq_3191;Candida_sorboxylosa@Seq_2219"
"MNXR111077"	"RAVEN_kegg"	"Candida_sorboxylosa@Seq_2671 or Candida_sorboxylosa@Seq_716 or Candida_sorboxylosa@Seq_4304 or Candida_sorboxylosa@Seq_3191 or Candida_sorboxylosa@Seq_2219"	NA	""	"Candida_sorboxylosa@Seq_2671;Candida_sorboxylosa@Seq_716;Candida_sorboxylosa@Seq_4304;Candida_sorboxylosa@Seq_3191;Candida_sorboxylosa@Seq_2219"
"MNXR111078"	"RAVEN_kegg"	"Candida_sorboxylosa@Seq_3329 or Candida_sorboxylosa@Seq_2803"	NA	""	"Candida_sorboxylosa@Seq_3329;Candida_sorboxylosa@Seq_2803"
"MNXR111093"	"RAVEN_kegg"	"Candida_sorboxylosa@Seq_1100"	NA	""	"Candida_sorboxylosa@Seq_1100"
"MNXR111094"	"RAVEN_kegg"	"Candida_sorboxylosa@Seq_1778"	NA	""	"Candida_sorboxylosa@Seq_1778"
"MNXR111095"	"RAVEN_kegg"	"Candida_sorboxylosa@Seq_1100"	NA	""	"Candida_sorboxylosa@Seq_1100"
"MNXR96958"	"RAVEN_kegg"	"Candida_sorboxylosa@Seq_1254"	NA	""	"Candida_sorboxylosa@Seq_1254"
"MNXR101468"	"RAVEN_kegg"	"Candida_sorboxylosa@Seq_3612"	NA	""	"Candida_sorboxylosa@Seq_3612"
"MNXR111114"	"RAVEN_kegg"	"Candida_sorboxylosa@Seq_3238"	NA	""	"Candida_sorboxylosa@Seq_3238"
"MNXR111119"	"RAVEN_kegg;RAVEN_biocyc"	"Candida_sorboxylosa@Seq_3238"	"Candida_sorboxylosa@Seq_3238"	"Candida_sorboxylosa@Seq_3238"	"Candida_sorboxylosa@Seq_3238"
"MNXR111122"	"RAVEN_kegg"	"Candida_sorboxylosa@Seq_631"	NA	""	"Candida_sorboxylosa@Seq_631"
"MNXR111123"	"RAVEN_kegg"	"Candida_sorboxylosa@Seq_3051"	NA	""	"Candida_sorboxylosa@Seq_3051"
