"rxnID"	"source"	"panID_RAVEN_kegg"	"panID_RAVEN_biocyc"	"panID_inter"	"panID_union"
"MNXR118006"	"RAVEN_biocyc"	NA	"Tortispora_caseinolytica@Seq_4582"	""	"Tortispora_caseinolytica@Seq_4582"
"MNXR118005"	"RAVEN_biocyc"	NA	"Tortispora_caseinolytica@Seq_4582"	""	"Tortispora_caseinolytica@Seq_4582"
"MNXR118004"	"RAVEN_biocyc"	NA	"Tortispora_caseinolytica@Seq_4582"	""	"Tortispora_caseinolytica@Seq_4582"
"MNXR118003"	"RAVEN_biocyc"	NA	"Tortispora_caseinolytica@Seq_4582"	""	"Tortispora_caseinolytica@Seq_4582"
"MNXR118001"	"RAVEN_biocyc"	NA	"Tortispora_caseinolytica@Seq_4029"	""	"Tortispora_caseinolytica@Seq_4029"
"MNXR103450"	"RAVEN_biocyc"	NA	"Tortispora_caseinolytica@Seq_4029"	""	"Tortispora_caseinolytica@Seq_4029"
"MNXR117999"	"RAVEN_biocyc"	NA	"Tortispora_caseinolytica@Seq_1595"	""	"Tortispora_caseinolytica@Seq_1595"
"MNXR121216"	"RAVEN_biocyc"	NA	"Tortispora_caseinolytica@Seq_2769"	""	"Tortispora_caseinolytica@Seq_2769"
"MNXR123419"	"RAVEN_biocyc"	NA	"Tortispora_caseinolytica@Seq_2639"	""	"Tortispora_caseinolytica@Seq_2639"
"MNXR122928"	"RAVEN_biocyc"	NA	"Tortispora_caseinolytica@Seq_3305"	""	"Tortispora_caseinolytica@Seq_3305"
"MNXR113638"	"RAVEN_biocyc"	NA	"Tortispora_caseinolytica@Seq_4045"	""	"Tortispora_caseinolytica@Seq_4045"
"MNXR113645"	"RAVEN_biocyc"	NA	"Tortispora_caseinolytica@Seq_1401"	""	"Tortispora_caseinolytica@Seq_1401"
"MNXR120242"	"RAVEN_biocyc"	NA	"Tortispora_caseinolytica@Seq_1253"	""	"Tortispora_caseinolytica@Seq_1253"
"MNXR122012"	"RAVEN_biocyc"	NA	"Tortispora_caseinolytica@Seq_3167"	""	"Tortispora_caseinolytica@Seq_3167"
"MNXR107713"	"RAVEN_biocyc"	NA	"Tortispora_caseinolytica@Seq_386 or Tortispora_caseinolytica@Seq_4515"	""	"Tortispora_caseinolytica@Seq_386;Tortispora_caseinolytica@Seq_4515"
"MNXR115197"	"RAVEN_biocyc"	NA	"Tortispora_caseinolytica@Seq_918 or Tortispora_caseinolytica@Seq_1774"	""	"Tortispora_caseinolytica@Seq_918;Tortispora_caseinolytica@Seq_1774"
"metacyc:RXN-18742"	"RAVEN_biocyc"	NA	"Tortispora_caseinolytica@Seq_716 or Tortispora_caseinolytica@Seq_4173"	""	"Tortispora_caseinolytica@Seq_716;Tortispora_caseinolytica@Seq_4173"
"MNXR121213"	"RAVEN_biocyc"	NA	"Tortispora_caseinolytica@Seq_2769"	""	"Tortispora_caseinolytica@Seq_2769"
"MNXR117831"	"RAVEN_biocyc"	NA	"Tortispora_caseinolytica@Seq_1595"	""	"Tortispora_caseinolytica@Seq_1595"
"MNXR117823"	"RAVEN_biocyc"	NA	"Tortispora_caseinolytica@Seq_1094"	""	"Tortispora_caseinolytica@Seq_1094"
"MNXR122925"	"RAVEN_biocyc"	NA	"Tortispora_caseinolytica@Seq_386"	""	"Tortispora_caseinolytica@Seq_386"
"MNXR106402"	"RAVEN_biocyc"	NA	"Tortispora_caseinolytica@Seq_1401"	""	"Tortispora_caseinolytica@Seq_1401"
"MNXR123642"	"RAVEN_biocyc"	NA	"Tortispora_caseinolytica@Seq_3305"	""	"Tortispora_caseinolytica@Seq_3305"
"MNXR124067"	"RAVEN_biocyc"	NA	"Tortispora_caseinolytica@Seq_2465"	""	"Tortispora_caseinolytica@Seq_2465"
"metacyc:RXN-18701"	"RAVEN_biocyc"	NA	"Tortispora_caseinolytica@Seq_571"	""	"Tortispora_caseinolytica@Seq_571"
"MNXR108106"	"RAVEN_biocyc"	NA	"Tortispora_caseinolytica@Seq_3291"	""	"Tortispora_caseinolytica@Seq_3291"
"MNXR100837"	"RAVEN_biocyc"	NA	"Tortispora_caseinolytica@Seq_3291"	""	"Tortispora_caseinolytica@Seq_3291"
"MNXR94925"	"RAVEN_biocyc"	NA	"Tortispora_caseinolytica@Seq_3291"	""	"Tortispora_caseinolytica@Seq_3291"
"MNXR117281"	"RAVEN_biocyc"	NA	"Tortispora_caseinolytica@Seq_1965"	""	"Tortispora_caseinolytica@Seq_1965"
"MNXR115230"	"RAVEN_biocyc"	NA	"Tortispora_caseinolytica@Seq_385"	""	"Tortispora_caseinolytica@Seq_385"
