"rxnID"	"source"	"panID_RAVEN_kegg"	"panID_RAVEN_biocyc"	"panID_inter"	"panID_union"
"MNXR118756"	"RAVEN_biocyc"	NA	"Tetrapisispora_blattae@Seq_1775"	""	"Tetrapisispora_blattae@Seq_1775"
"MNXR117597"	"RAVEN_biocyc"	NA	"Tetrapisispora_blattae@Seq_2314"	""	"Tetrapisispora_blattae@Seq_2314"
"MNXR117570"	"RAVEN_biocyc"	NA	"Tetrapisispora_blattae@Seq_2739"	""	"Tetrapisispora_blattae@Seq_2739"
"MNXR115647"	"RAVEN_biocyc"	NA	"Tetrapisispora_blattae@Seq_4318"	""	"Tetrapisispora_blattae@Seq_4318"
"MNXR118748"	"RAVEN_biocyc"	NA	"Tetrapisispora_blattae@Seq_1775"	""	"Tetrapisispora_blattae@Seq_1775"
"MNXR117567"	"RAVEN_biocyc"	NA	"Tetrapisispora_blattae@Seq_291"	""	"Tetrapisispora_blattae@Seq_291"
"MNXR118737"	"RAVEN_biocyc"	NA	"Tetrapisispora_blattae@Seq_2739"	""	"Tetrapisispora_blattae@Seq_2739"
"MNXR117583"	"RAVEN_biocyc"	NA	"Tetrapisispora_blattae@Seq_4556"	""	"Tetrapisispora_blattae@Seq_4556"
"MNXR117203"	"RAVEN_biocyc"	NA	"Tetrapisispora_blattae@Seq_183 or Tetrapisispora_blattae@Seq_1478"	""	"Tetrapisispora_blattae@Seq_183;Tetrapisispora_blattae@Seq_1478"
"MNXR117509"	"RAVEN_biocyc"	NA	"Tetrapisispora_blattae@Seq_1845"	""	"Tetrapisispora_blattae@Seq_1845"
"MNXR121649"	"RAVEN_biocyc"	NA	"Tetrapisispora_blattae@Seq_800"	""	"Tetrapisispora_blattae@Seq_800"
"MNXR117197"	"RAVEN_biocyc"	NA	"Tetrapisispora_blattae@Seq_269"	""	"Tetrapisispora_blattae@Seq_269"
"MNXR102173"	"RAVEN_biocyc"	NA	"Tetrapisispora_blattae@Seq_305"	""	"Tetrapisispora_blattae@Seq_305"
"MNXR123249"	"RAVEN_biocyc"	NA	"Tetrapisispora_blattae@Seq_627 or Tetrapisispora_blattae@Seq_3486"	""	"Tetrapisispora_blattae@Seq_627;Tetrapisispora_blattae@Seq_3486"
"MNXR115039"	"RAVEN_biocyc"	NA	"Tetrapisispora_blattae@Seq_3971"	""	"Tetrapisispora_blattae@Seq_3971"
"MNXR117598"	"RAVEN_biocyc"	NA	"Tetrapisispora_blattae@Seq_2314"	""	"Tetrapisispora_blattae@Seq_2314"
"MNXR117571"	"RAVEN_biocyc"	NA	"Tetrapisispora_blattae@Seq_2974"	""	"Tetrapisispora_blattae@Seq_2974"
"MNXR115648"	"RAVEN_biocyc"	NA	"Tetrapisispora_blattae@Seq_4318"	""	"Tetrapisispora_blattae@Seq_4318"
"MNXR117595"	"RAVEN_biocyc"	NA	"Tetrapisispora_blattae@Seq_4032"	""	"Tetrapisispora_blattae@Seq_4032"
"MNXR117568"	"RAVEN_biocyc"	NA	"Tetrapisispora_blattae@Seq_3921"	""	"Tetrapisispora_blattae@Seq_3921"
"MNXR115983"	"RAVEN_biocyc"	NA	"Tetrapisispora_blattae@Seq_1426 or Tetrapisispora_blattae@Seq_3427"	""	"Tetrapisispora_blattae@Seq_1426;Tetrapisispora_blattae@Seq_3427"
"MNXR117933"	"RAVEN_biocyc"	NA	"Tetrapisispora_blattae@Seq_1542"	""	"Tetrapisispora_blattae@Seq_1542"
"MNXR117584"	"RAVEN_biocyc"	NA	"Tetrapisispora_blattae@Seq_4556"	""	"Tetrapisispora_blattae@Seq_4556"
"MNXR102172"	"RAVEN_biocyc"	NA	"Tetrapisispora_blattae@Seq_305"	""	"Tetrapisispora_blattae@Seq_305"
"metacyc:RXN-19940"	"RAVEN_biocyc"	NA	"Tetrapisispora_blattae@Seq_5209"	""	"Tetrapisispora_blattae@Seq_5209"
"MNXR117510"	"RAVEN_biocyc"	NA	"Tetrapisispora_blattae@Seq_1845"	""	"Tetrapisispora_blattae@Seq_1845"
"MNXR117198"	"RAVEN_biocyc"	NA	"Tetrapisispora_blattae@Seq_269"	""	"Tetrapisispora_blattae@Seq_269"
"MNXR115033"	"RAVEN_biocyc"	NA	"Tetrapisispora_blattae@Seq_2618"	""	"Tetrapisispora_blattae@Seq_2618"
"MNXR117599"	"RAVEN_biocyc"	NA	"Tetrapisispora_blattae@Seq_2314"	""	"Tetrapisispora_blattae@Seq_2314"
