old_species_id	No. genes	Assembly size	Major clade
yHMPu5000041818_Magnusiomyces_tetrasperma	8711	25831330	Dipodascaceae/Trichomonascaceae
yHMPu5000035691_Candida_salmanticensis	5902	12292129	Dipodascaceae/Trichomonascaceae
yHMPu5000035665_Middelhovenomyces_tepae	6443	14976273	Dipodascaceae/Trichomonascaceae
yHMPu5000035645_Yarrowia_divulgata	6691	21397450	Dipodascaceae/Trichomonascaceae
yHMPu5000035643_Yarrowia_bubula	6797	20593375	Dipodascaceae/Trichomonascaceae
yHMPu5000035633_Candida_hispaniensis	5389	10636565	Dipodascaceae/Trichomonascaceae
yHMPu5000035244_Candida_incommunis	5696	11993152	Dipodascaceae/Trichomonascaceae
yHMPu5000035243_Zygoascus_meyerae	5629	12198265	Dipodascaceae/Trichomonascaceae
yHMPu5000035242_Zygoascus_ofunaensis	5725	13095549	Dipodascaceae/Trichomonascaceae
yHMPu5000034974_Deakozyma_indianensis	5535	11721294	Dipodascaceae/Trichomonascaceae
yHMPu5000034681_Blastobotrys_americana	5788	12576661	Dipodascaceae/Trichomonascaceae
yHMPu5000034675_Blastobotrys_mokoenaii	6191	13716247	Dipodascaceae/Trichomonascaceae
yHMPu5000034674_Blastobotrys_muscicola	6761	14645307	Dipodascaceae/Trichomonascaceae
yHMPu5000034673_Blastobotrys_nivea	9671	15237305	Dipodascaceae/Trichomonascaceae
yHMPu5000034671_Blastobotrys_peoriensis	6289	14110558	Dipodascaceae/Trichomonascaceae
yHMPu5000034670_Blastobotrys_proliferans	7445	14648099	Dipodascaceae/Trichomonascaceae
yHMPu5000034669_Blastobotrys_raffinofermentans	6242	12452755	Dipodascaceae/Trichomonascaceae
yHMPu5000034667_Blastobotrys_serpentis	6716	13736849	Dipodascaceae/Trichomonascaceae
yHMPu5000034661_Dipodascus_albidus	7267	16126720	Dipodascaceae/Trichomonascaceae
yHMPu5000034660_Diddensiella_caesifluorescens	6246	11981518	Dipodascaceae/Trichomonascaceae
yHMPu5000034646_Wickerhamiella_cacticola	5846	12552684	Dipodascaceae/Trichomonascaceae
yHMPu5000034635_Nadsonia_fulvescens	7096	13808416	Dipodascaceae/Trichomonascaceae
yHMPu5000034605_Spencermartinsiella_europaea	6401	14643834	Dipodascaceae/Trichomonascaceae
Alloascoidea_hylecoeti	9631	24815695	Alloascoideaceae
Sporopachydermia_quercuum	5968	16411463	Sporopachydermia clade
yHMPu5000034604_Sporopachydermia_lactativora	6204	16533064	Sporopachydermia clade
